open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1671580800000,0.1336000,0.1338000,0.1335000,0.1335000,487356,1671580859999,65139.9018000,205,174995,23395.6517000,0
1671580860000,0.1335000,0.1335000,0.1333000,0.1335000,125580,1671580919999,16752.8101000,134,35446,4729.8384000,0
1671580920000,0.1334000,0.1336000,0.1334000,0.1335000,77812,1671580979999,10389.7444000,42,61718,8241.5641000,0
1671580980000,0.1336000,0.1337000,0.1335000,0.1335000,95860,1671581039999,12807.8595000,61,67053,8960.3122000,0
1671581040000,0.1336000,0.1337000,0.1335000,0.1336000,50917,1671581099999,6804.2995000,35,30003,4010.9222000,0
1671581100000,0.1336000,0.1337000,0.1335000,0.1337000,53897,1671581159999,7200.7099000,29,16438,2196.4136000,0
1671581160000,0.1337000,0.1338000,0.1337000,0.1338000,50242,1671581219999,6719.9306000,28,27664,3701.2520000,0
1671581220000,0.1338000,0.1339000,0.1338000,0.1339000,25812,1671581279999,3455.1753000,22,16404,2196.3849000,0
1671581280000,0.1338000,0.1339000,0.1337000,0.1339000,158621,1671581339999,21224.1438000,58,31532,4219.6888000,0
1671581340000,0.1338000,0.1339000,0.1337000,0.1338000,140649,1671581399999,18827.1115000,49,56235,7528.2737000,0
1671581400000,0.1338000,0.1339000,0.1337000,0.1338000,51626,1671581459999,6909.5963000,33,33645,4504.2107000,0
1671581460000,0.1338000,0.1338000,0.1336000,0.1336000,117428,1671581519999,15695.1769000,60,5802,775.2445000,0
1671581520000,0.1336000,0.1336000,0.1334000,0.1334000,102404,1671581579999,13669.0615000,49,15511,2071.1996000,0
1671581580000,0.1334000,0.1334000,0.1326000,0.1327000,1180314,1671581639999,156806.6588000,433,525967,69867.0628000,0
1671581640000,0.1327000,0.1328000,0.1325000,0.1327000,394484,1671581699999,52340.1605000,202,172033,22830.8424000,0
1671581700000,0.1327000,0.1327000,0.1315000,0.1320000,2067797,1671581759999,272977.8114000,814,626382,82664.8985000,0
1671581760000,0.1320000,0.1323000,0.1319000,0.1322000,396460,1671581819999,52386.6614000,196,260061,34367.2477000,0
1671581820000,0.1322000,0.1324000,0.1322000,0.1323000,276908,1671581879999,36627.3900000,129,171539,22692.4400000,0
1671581880000,0.1324000,0.1324000,0.1321000,0.1321000,193041,1671581939999,25538.4288000,107,46701,6177.7989000,0
1671581940000,0.1322000,0.1322000,0.1319000,0.1320000,186931,1671581999999,24683.9836000,89,107081,14143.7248000,0
1671582000000,0.1320000,0.1323000,0.1319000,0.1323000,426371,1671582059999,56333.7567000,161,215282,28451.8866000,0
1671582060000,0.1322000,0.1326000,0.1322000,0.1325000,169545,1671582119999,22441.0588000,82,157229,20812.0436000,0
1671582120000,0.1325000,0.1325000,0.1322000,0.1323000,156514,1671582179999,20721.8929000,89,31689,4194.0503000,0
1671582180000,0.1322000,0.1324000,0.1322000,0.1323000,187271,1671582239999,24775.1916000,79,92934,12296.3546000,0
1671582240000,0.1323000,0.1324000,0.1322000,0.1323000,73734,1671582299999,9759.2237000,42,42418,5613.9732000,0
1671582300000,0.1323000,0.1325000,0.1323000,0.1325000,252517,1671582359999,33436.3370000,84,202736,26844.8330000,0
1671582360000,0.1325000,0.1325000,0.1325000,0.1325000,15473,1671582419999,2050.1725000,16,15473,2050.1725000,0
1671582420000,0.1325000,0.1325000,0.1325000,0.1325000,4356,1671582479999,577.1700000,7,4356,577.1700000,0
1671582480000,0.1325000,0.1325000,0.1324000,0.1324000,64409,1671582539999,8533.2856000,33,26390,3496.6750000,0
1671582540000,0.1325000,0.1325000,0.1323000,0.1323000,111401,1671582599999,14744.5056000,36,2834,375.4646000,0
1671582600000,0.1324000,0.1327000,0.1324000,0.1327000,330442,1671582659999,43811.1453000,128,168220,22300.5081000,0
1671582660000,0.1327000,0.1329000,0.1327000,0.1328000,74588,1671582719999,9903.6532000,61,38203,5071.7954000,0
1671582720000,0.1327000,0.1329000,0.1327000,0.1328000,99956,1671582779999,13277.4641000,71,34652,4602.7536000,0
1671582780000,0.1329000,0.1330000,0.1328000,0.1328000,118441,1671582839999,15740.4275000,66,74771,9940.5884000,0
1671582840000,0.1328000,0.1328000,0.1328000,0.1328000,78339,1671582899999,10403.4192000,35,20843,2767.9504000,0
1671582900000,0.1328000,0.1330000,0.1328000,0.1329000,108895,1671582959999,14475.8213000,56,73980,9835.6962000,0
1671582960000,0.1329000,0.1332000,0.1329000,0.1330000,100001,1671583019999,13306.2887000,72,58713,7812.7906000,0
1671583020000,0.1329000,0.1330000,0.1327000,0.1328000,88536,1671583079999,11764.1107000,60,29103,3868.3718000,0
1671583080000,0.1328000,0.1329000,0.1328000,0.1328000,23109,1671583139999,3068.9580000,28,6391,848.8076000,0
1671583140000,0.1327000,0.1327000,0.1326000,0.1327000,103690,1671583199999,13750.8161000,67,57388,7609.9318000,0
1671583200000,0.1327000,0.1327000,0.1324000,0.1324000,63715,1671583259999,8446.2956000,58,1480,196.3359000,0
1671583260000,0.1325000,0.1326000,0.1324000,0.1326000,128909,1671583319999,17075.7712000,71,102807,13618.7046000,0
1671583320000,0.1325000,0.1325000,0.1322000,0.1323000,137366,1671583379999,18177.7524000,71,41683,5516.8811000,0
1671583380000,0.1324000,0.1325000,0.1323000,0.1323000,77896,1671583439999,10311.9110000,62,23790,3149.6570000,0
1671583440000,0.1323000,0.1324000,0.1320000,0.1323000,218226,1671583499999,28846.1060000,95,146834,19408.9606000,0
1671583500000,0.1323000,0.1324000,0.1321000,0.1321000,236266,1671583559999,31248.4982000,108,76702,10144.3532000,0
1671583560000,0.1322000,0.1322000,0.1321000,0.1321000,177334,1671583619999,23429.7621000,78,94098,12434.2865000,0
1671583620000,0.1321000,0.1322000,0.1320000,0.1320000,70505,1671583679999,9312.9151000,63,39553,5225.2578000,0
